0	230
130	201
20	89
106	135
71	195
20	107
54	153
66	105
61	138
53	150
101	156
33	152
38	97
70	208
32	137
30	154
54	105
51	189
77	106
53	108
109	152
37	96
59	144
36	155
118	190
47	186
117	156
5	156
8	79
37	98
28	123
24	85
116	175
24	179
100	143
50	178
41	178
117	160
42	145
33	186
51	128
44	159
25	172
115	158
31	138
29	189
93	150
34	116
125	192
93	132
105	152
66	119
25	88
62	137
121	168
70	189
81	188
78	133
79	210
17	123
130	201
59	102
25	164
34	112
46	165
49	170
77	179
43	150
82	198
12	142
21	198
57	106
22	110
60	105
73	195
46	101
36	119
65	200
43	158
58	135
69	198
87	110
28	91
21	97
68	143
74	117
79	118
84	111
24	133
128	211
76	123
130	194
18	181
41	199
88	121
14	83
119	160
122	153
32	93
38	137
28	195
