Iter = 0, 瞷︽秆cost = 31991.73, ó进计 = 3, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 31991.73, 办秆Θセ = 31991.73
Iter = 1, 瞷︽秆cost = 31999.00, ó进计 = 3, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 31991.73
Iter = 2, 瞷︽秆cost = 32010.06, ó进计 = 3, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 31991.73
Iter = 3, 瞷︽秆cost = 32016.65, ó进计 = 3, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 31991.73
Iter = 4, 瞷︽秆cost = 32014.09, ó进计 = 3, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 31991.73
Iter = 5, 瞷︽秆cost = 32020.86, ó进计 = 3, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 31991.73
Iter = 6, 瞷︽秆cost = 32025.20, ó进计 = 3, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 31991.73
Iter = 7, 瞷︽秆cost = 32029.35, ó进计 = 3, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 31991.73
Iter = 8, 瞷︽秆cost = 32049.58, ó进计 = 3, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 31991.73
Iter = 9, 瞷︽秆cost = 32044.95, ó进计 = 3, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 31991.73
Iter = 10, 瞷︽秆cost = 32038.36, ó进计 = 3, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 31991.73
Iter = 11, 瞷︽秆cost = 32030.36, ó进计 = 3, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 31991.73
Iter = 12, 瞷︽秆cost = 32030.67, ó进计 = 3, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 31991.73
Iter = 13, 瞷︽秆cost = 32029.37, ó进计 = 3, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 31991.73
Iter = 14, 瞷︽秆cost = 32037.80, ó进计 = 3, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 31991.73
Iter = 15, 瞷︽秆cost = 32025.35, ó进计 = 3, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 31991.73
Iter = 16, 瞷︽秆cost = 32024.84, ó进计 = 3, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 31991.73
Iter = 17, 瞷︽秆cost = 32032.05, ó进计 = 3, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 31991.73
Iter = 18, 瞷︽秆cost = 32033.24, ó进计 = 3, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 31991.73
