在 tabu-search 第 2 次的遞迴
總距離 = 1068.39, 車輛總數 = 10, 總成本 = 102072.99

Car ID: 1
Node: 0,   A = 0.00,   B = 0.00,   W = 0.00,   R = 200,   MPF = 230.00,   TWT = 0.00,   MPB = 0.00
Node: 95,   A = 14.87,   B = 14.87,   W = 0.00,   R = 180,   MPF = 128.13,   TWT = 0.00,   MPB = 0.00
Node: 92,   A = 28.48,   B = 28.48,   W = 0.00,   R = 178,   MPF = 130.52,   TWT = 0.00,   MPB = 0.00
Node: 59,   A = 40.72,   B = 40.72,   W = 0.00,   R = 150,   MPF = 142.28,   TWT = 0.00,   MPB = 0.00
Node: 85,   A = 56.11,   B = 56.11,   W = 0.00,   R = 109,   MPF = 90.89,   TWT = 0.00,   MPB = 0.00
Node: 91,   A = 69.27,   B = 70.00,   W = 0.73,   R = 108,   MPF = 124.00,   TWT = 0.73,   MPB = 0.00
Node: 14,   A = 89.00,   B = 89.00,   W = 0.00,   R = 88,   MPF = 98.00,   TWT = 0.73,   MPB = 27.63
Node: 43,   A = 109.63,   B = 109.63,   W = 0.00,   R = 81,   MPF = 75.37,   TWT = 0.73,   MPB = 27.63
Node: 42,   A = 128.69,   B = 128.69,   W = 0.00,   R = 76,   MPF = 29.31,   TWT = 0.73,   MPB = 73.01
Node: 100,   A = 147.18,   B = 147.18,   W = 0.00,   R = 59,   MPF = 47.82,   TWT = 0.73,   MPB = 73.01
Node: 37,   A = 160.01,   B = 160.01,   W = 0.00,   R = 51,   MPF = 29.99,   TWT = 0.73,   MPB = 73.01
Node: 97,   A = 175.11,   B = 175.11,   W = 0.00,   R = 39,   MPF = 7.89,   TWT = 0.73,   MPB = 83.11
Node: 13,   A = 191.51,   B = 191.51,   W = 0.00,   R = 16,   MPF = 16.49,   TWT = 0.73,   MPB = 112.51
Node: 0,   A = 212.69,   B = 212.69,   W = 0.00,   R = 200,   MPF = 17.31,   TWT = 0.73,   MPB = 212.69


Car ID: 2
Node: 0,   A = 0.00,   B = 0.00,   W = 0.00,   R = 200,   MPF = 230.00,   TWT = 0.00,   MPB = 0.00
Node: 21,   A = 18.03,   B = 18.03,   W = 0.00,   R = 189,   MPF = 117.97,   TWT = 0.00,   MPB = 0.03
Node: 73,   A = 31.19,   B = 31.19,   W = 0.00,   R = 180,   MPF = 103.81,   TWT = 0.00,   MPB = 1.19
Node: 41,   A = 51.39,   B = 51.39,   W = 0.00,   R = 175,   MPF = 108.61,   TWT = 0.00,   MPB = 4.79
Node: 22,   A = 65.63,   B = 65.63,   W = 0.00,   R = 157,   MPF = 87.37,   TWT = 0.00,   MPB = 4.79
Node: 74,   A = 78.79,   B = 78.79,   W = 0.00,   R = 149,   MPF = 116.21,   TWT = 0.00,   MPB = 4.79
Node: 75,   A = 92.40,   B = 92.40,   W = 0.00,   R = 131,   MPF = 48.60,   TWT = 0.00,   MPB = 65.40
Node: 23,   A = 110.89,   B = 110.89,   W = 0.00,   R = 102,   MPF = 44.11,   TWT = 0.00,   MPB = 74.89
Node: 67,   A = 132.89,   B = 132.89,   W = 0.00,   R = 77,   MPF = 23.11,   TWT = 0.00,   MPB = 89.89
Node: 39,   A = 152.79,   B = 152.79,   W = 0.00,   R = 46,   MPF = 33.21,   TWT = 0.00,   MPB = 93.79
Node: 56,   A = 169.79,   B = 169.79,   W = 0.00,   R = 40,   MPF = 20.21,   TWT = 0.00,   MPB = 93.79
Node: 58,   A = 201.81,   B = 201.81,   W = 0.00,   R = 22,   MPF = 8.19,   TWT = 0.00,   MPB = 117.81
Node: 0,   A = 220.87,   B = 220.87,   W = 0.00,   R = 200,   MPF = 9.13,   TWT = 0.00,   MPB = 220.87


Car ID: 3
Node: 0,   A = 0.00,   B = 0.00,   W = 0.00,   R = 200,   MPF = 230.00,   TWT = 0.00,   MPB = 0.00
Node: 2,   A = 18.00,   B = 18.00,   W = 0.00,   R = 193,   MPF = 129.00,   TWT = 0.00,   MPB = 0.00
Node: 15,   A = 41.00,   B = 41.00,   W = 0.00,   R = 185,   MPF = 111.00,   TWT = 0.00,   MPB = 10.28
Node: 57,   A = 58.28,   B = 58.28,   W = 0.00,   R = 178,   MPF = 104.72,   TWT = 0.00,   MPB = 10.28
Node: 87,   A = 75.49,   B = 75.49,   W = 0.00,   R = 152,   MPF = 58.51,   TWT = 0.00,   MPB = 14.49
Node: 94,   A = 94.71,   B = 94.71,   W = 0.00,   R = 125,   MPF = 56.29,   TWT = 0.00,   MPB = 36.71
Node: 53,   A = 116.41,   B = 116.41,   W = 0.00,   R = 111,   MPF = 31.59,   TWT = 0.00,   MPB = 65.41
Node: 0,   A = 130.88,   B = 130.88,   W = 0.00,   R = 200,   MPF = 99.12,   TWT = 0.00,   MPB = 130.88


Car ID: 4
Node: 0,   A = 0.00,   B = 0.00,   W = 0.00,   R = 200,   MPF = 230.00,   TWT = 0.00,   MPB = 0.00
Node: 69,   A = 12.17,   B = 12.17,   W = 0.00,   R = 194,   MPF = 124.83,   TWT = 0.00,   MPB = 0.17
Node: 30,   A = 35.51,   B = 35.51,   W = 0.00,   R = 173,   MPF = 96.49,   TWT = 0.00,   MPB = 10.51
Node: 51,   A = 54.73,   B = 54.73,   W = 0.00,   R = 163,   MPF = 94.27,   TWT = 0.00,   MPB = 18.73
Node: 9,   A = 71.05,   B = 71.05,   W = 0.00,   R = 147,   MPF = 84.95,   TWT = 0.00,   MPB = 24.05
Node: 35,   A = 90.48,   B = 90.48,   W = 0.00,   R = 139,   MPF = 87.52,   TWT = 0.00,   MPB = 36.48
Node: 71,   A = 107.19,   B = 107.19,   W = 0.00,   R = 124,   MPF = 40.81,   TWT = 0.00,   MPB = 68.19
Node: 65,   A = 127.49,   B = 127.49,   W = 0.00,   R = 104,   MPF = 42.51,   TWT = 0.00,   MPB = 78.49
Node: 66,   A = 151.09,   B = 151.09,   W = 0.00,   R = 79,   MPF = 27.91,   TWT = 0.00,   MPB = 83.09
Node: 20,   A = 170.03,   B = 170.03,   W = 0.00,   R = 70,   MPF = 11.97,   TWT = 0.00,   MPB = 91.03
Node: 1,   A = 196.52,   B = 196.52,   W = 0.00,   R = 60,   MPF = 7.48,   TWT = 0.00,   MPB = 123.52
Node: 0,   A = 221.75,   B = 221.75,   W = 0.00,   R = 200,   MPF = 8.25,   TWT = 0.00,   MPB = 221.75


Car ID: 5
Node: 0,   A = 0.00,   B = 0.00,   W = 0.00,   R = 200,   MPF = 230.00,   TWT = 0.00,   MPB = 0.00
Node: 52,   A = 11.31,   B = 11.31,   W = 0.00,   R = 191,   MPF = 121.69,   TWT = 0.00,   MPB = 0.31
Node: 83,   A = 35.63,   B = 35.63,   W = 0.00,   R = 180,   MPF = 121.37,   TWT = 0.00,   MPB = 5.48
Node: 5,   A = 52.70,   B = 52.70,   W = 0.00,   R = 154,   MPF = 114.30,   TWT = 0.00,   MPB = 5.48
Node: 93,   A = 69.41,   B = 69.41,   W = 0.00,   R = 132,   MPF = 129.59,   TWT = 0.00,   MPB = 5.48
Node: 99,   A = 82.24,   B = 82.24,   W = 0.00,   R = 123,   MPF = 59.76,   TWT = 0.00,   MPB = 5.48
Node: 96,   A = 94.48,   B = 94.48,   W = 0.00,   R = 112,   MPF = 95.52,   TWT = 0.00,   MPB = 5.48
Node: 6,   A = 108.72,   B = 108.72,   W = 0.00,   R = 109,   MPF = 49.28,   TWT = 0.00,   MPB = 59.72
Node: 18,   A = 129.90,   B = 129.90,   W = 0.00,   R = 97,   MPF = 6.10,   TWT = 0.00,   MPB = 82.90
Node: 50,   A = 167.79,   B = 167.79,   W = 0.00,   R = 84,   MPF = 14.21,   TWT = 0.00,   MPB = 92.79
Node: 0,   A = 194.76,   B = 194.76,   W = 0.00,   R = 200,   MPF = 35.24,   TWT = 0.00,   MPB = 194.76


Car ID: 6
Node: 0,   A = 0.00,   B = 0.00,   W = 0.00,   R = 200,   MPF = 230.00,   TWT = 0.00,   MPB = 0.00
Node: 98,   A = 21.26,   B = 21.26,   W = 0.00,   R = 190,   MPF = 120.74,   TWT = 0.00,   MPB = 0.26
Node: 44,   A = 41.89,   B = 41.89,   W = 0.00,   R = 172,   MPF = 102.11,   TWT = 0.00,   MPB = 10.89
Node: 38,   A = 62.71,   B = 62.71,   W = 0.00,   R = 156,   MPF = 90.29,   TWT = 0.00,   MPB = 20.71
Node: 86,   A = 85.75,   B = 85.75,   W = 0.00,   R = 121,   MPF = 62.25,   TWT = 0.00,   MPB = 36.75
Node: 16,   A = 102.07,   B = 102.07,   W = 0.00,   R = 102,   MPF = 36.93,   TWT = 0.00,   MPB = 73.07
Node: 61,   A = 116.54,   B = 116.54,   W = 0.00,   R = 89,   MPF = 15.46,   TWT = 0.00,   MPB = 76.61
Node: 84,   A = 133.61,   B = 133.61,   W = 0.00,   R = 82,   MPF = 20.39,   TWT = 0.00,   MPB = 76.61
Node: 17,   A = 149.69,   B = 149.69,   W = 0.00,   R = 80,   MPF = 39.31,   TWT = 0.00,   MPB = 89.69
Node: 45,   A = 167.75,   B = 167.75,   W = 0.00,   R = 64,   MPF = 1.25,   TWT = 0.00,   MPB = 119.45
Node: 60,   A = 189.45,   B = 189.45,   W = 0.00,   R = 61,   MPF = 11.55,   TWT = 0.00,   MPB = 119.45
Node: 89,   A = 208.51,   B = 208.51,   W = 0.00,   R = 46,   MPF = 2.49,   TWT = 0.00,   MPB = 140.51
Node: 0,   A = 227.51,   B = 227.51,   W = 0.00,   R = 200,   MPF = 2.49,   TWT = 0.00,   MPB = 227.51


Car ID: 7
Node: 0,   A = 0.00,   B = 0.00,   W = 0.00,   R = 200,   MPF = 230.00,   TWT = 0.00,   MPB = 0.00
Node: 27,   A = 5.00,   B = 5.00,   W = 0.00,   R = 184,   MPF = 135.00,   TWT = 0.00,   MPB = 0.00
Node: 31,   A = 27.65,   B = 27.65,   W = 0.00,   R = 157,   MPF = 110.35,   TWT = 0.00,   MPB = 10.65
Node: 62,   A = 46.87,   B = 46.87,   W = 0.00,   R = 138,   MPF = 107.13,   TWT = 0.00,   MPB = 21.87
Node: 11,   A = 64.93,   B = 64.93,   W = 0.00,   R = 126,   MPF = 87.07,   TWT = 0.00,   MPB = 31.93
Node: 64,   A = 87.93,   B = 87.93,   W = 0.00,   R = 117,   MPF = 77.07,   TWT = 0.00,   MPB = 37.66
Node: 49,   A = 110.66,   B = 110.66,   W = 0.00,   R = 87,   MPF = 41.34,   TWT = 0.00,   MPB = 37.66
Node: 36,   A = 129.60,   B = 129.60,   W = 0.00,   R = 82,   MPF = 48.40,   TWT = 0.00,   MPB = 88.60
Node: 46,   A = 151.60,   B = 151.60,   W = 0.00,   R = 81,   MPF = 28.40,   TWT = 0.00,   MPB = 88.60
Node: 47,   A = 171.60,   B = 171.60,   W = 0.00,   R = 54,   MPF = 4.40,   TWT = 0.00,   MPB = 123.00
Node: 48,   A = 188.00,   B = 188.00,   W = 0.00,   R = 18,   MPF = 4.00,   TWT = 0.00,   MPB = 123.00
Node: 0,   A = 225.80,   B = 225.80,   W = 0.00,   R = 200,   MPF = 4.20,   TWT = 0.00,   MPB = 225.80


Car ID: 8
Node: 0,   A = 0.00,   B = 0.00,   W = 0.00,   R = 200,   MPF = 230.00,   TWT = 0.00,   MPB = 0.00
Node: 88,   A = 19.24,   B = 21.00,   W = 1.76,   R = 191,   MPF = 115.00,   TWT = 1.76,   MPB = 0.00
Node: 7,   A = 37.32,   B = 37.32,   W = 0.00,   R = 186,   MPF = 97.68,   TWT = 1.76,   MPB = 1.32
Node: 82,   A = 53.15,   B = 53.15,   W = 0.00,   R = 170,   MPF = 92.85,   TWT = 1.76,   MPB = 19.55
Node: 8,   A = 69.55,   B = 69.55,   W = 0.00,   R = 161,   MPF = 79.45,   TWT = 1.76,   MPB = 19.55
Node: 19,   A = 97.27,   B = 97.27,   W = 0.00,   R = 144,   MPF = 48.73,   TWT = 1.76,   MPB = 65.27
Node: 63,   A = 122.27,   B = 122.27,   W = 0.00,   R = 134,   MPF = 49.73,   TWT = 1.76,   MPB = 84.21
Node: 90,   A = 136.74,   B = 136.74,   W = 0.00,   R = 131,   MPF = 16.26,   TWT = 1.76,   MPB = 84.21
Node: 32,   A = 151.21,   B = 151.21,   W = 0.00,   R = 108,   MPF = 34.79,   TWT = 1.76,   MPB = 84.21
Node: 10,   A = 171.51,   B = 171.51,   W = 0.00,   R = 92,   MPF = 0.49,   TWT = 1.76,   MPB = 86.51
Node: 70,   A = 189.57,   B = 189.57,   W = 0.00,   R = 87,   MPF = 8.43,   TWT = 1.76,   MPB = 141.57
Node: 0,   A = 220.67,   B = 220.67,   W = 0.00,   R = 200,   MPF = 9.33,   TWT = 1.76,   MPB = 220.67


Car ID: 9
Node: 0,   A = 0.00,   B = 0.00,   W = 0.00,   R = 200,   MPF = 230.00,   TWT = 0.00,   MPB = 0.00
Node: 28,   A = 6.32,   B = 6.32,   W = 0.00,   R = 184,   MPF = 129.68,   TWT = 0.00,   MPB = 0.00
Node: 76,   A = 25.75,   B = 27.00,   W = 1.25,   R = 171,   MPF = 101.00,   TWT = 1.25,   MPB = 0.00
Node: 33,   A = 47.77,   B = 47.77,   W = 0.00,   R = 160,   MPF = 113.23,   TWT = 1.25,   MPB = 3.60
Node: 81,   A = 60.60,   B = 60.60,   W = 0.00,   R = 134,   MPF = 79.40,   TWT = 1.25,   MPB = 3.60
Node: 78,   A = 76.92,   B = 76.92,   W = 0.00,   R = 131,   MPF = 82.08,   TWT = 1.25,   MPB = 21.92
Node: 34,   A = 91.92,   B = 91.92,   W = 0.00,   R = 117,   MPF = 81.08,   TWT = 1.25,   MPB = 21.92
Node: 29,   A = 114.96,   B = 114.96,   W = 0.00,   R = 108,   MPF = 35.04,   TWT = 1.25,   MPB = 71.79
Node: 79,   A = 134.18,   B = 134.18,   W = 0.00,   R = 85,   MPF = 11.82,   TWT = 1.25,   MPB = 71.79
Node: 3,   A = 147.79,   B = 147.79,   W = 0.00,   R = 72,   MPF = 17.21,   TWT = 1.25,   MPB = 71.79
Node: 77,   A = 160.62,   B = 160.62,   W = 0.00,   R = 58,   MPF = 39.38,   TWT = 1.25,   MPB = 88.62
Node: 68,   A = 175.62,   B = 175.62,   W = 0.00,   R = 22,   MPF = 22.38,   TWT = 1.25,   MPB = 95.62
Node: 80,   A = 187.62,   B = 187.62,   W = 0.00,   R = 16,   MPF = 10.38,   TWT = 1.25,   MPB = 114.62
Node: 0,   A = 218.72,   B = 218.72,   W = 0.00,   R = 200,   MPF = 11.28,   TWT = 1.25,   MPB = 218.72


Car ID: 11
Node: 0,   A = 0.00,   B = 0.00,   W = 0.00,   R = 200,   MPF = 230.00,   TWT = 0.00,   MPB = 0.00
Node: 12,   A = 15.00,   B = 15.00,   W = 0.00,   R = 181,   MPF = 118.00,   TWT = 0.00,   MPB = 0.00
Node: 40,   A = 39.14,   B = 40.00,   W = 0.86,   R = 172,   MPF = 99.00,   TWT = 0.86,   MPB = 0.00
Node: 72,   A = 61.40,   B = 61.40,   W = 0.00,   R = 147,   MPF = 108.60,   TWT = 0.86,   MPB = 7.34
Node: 4,   A = 80.34,   B = 80.34,   W = 0.00,   R = 128,   MPF = 114.66,   TWT = 0.86,   MPB = 7.34
Node: 25,   A = 100.34,   B = 100.34,   W = 0.00,   R = 122,   MPF = 85.66,   TWT = 0.86,   MPB = 44.34
Node: 55,   A = 113.95,   B = 113.95,   W = 0.00,   R = 120,   MPF = 75.05,   TWT = 0.86,   MPB = 44.95
Node: 24,   A = 136.12,   B = 136.12,   W = 0.00,   R = 117,   MPF = 53.88,   TWT = 0.86,   MPB = 66.12
Node: 54,   A = 156.12,   B = 156.12,   W = 0.00,   R = 99,   MPF = 40.88,   TWT = 0.86,   MPB = 66.12
Node: 26,   A = 178.16,   B = 178.16,   W = 0.00,   R = 82,   MPF = 7.84,   TWT = 0.86,   MPB = 91.16
Node: 0,   A = 199.34,   B = 199.34,   W = 0.00,   R = 200,   MPF = 30.66,   TWT = 0.86,   MPB = 199.34


