0	240
130	190
35	95
94	154
126	186
40	100
80	140
64	124
76	136
76	136
104	164
44	104
49	109
127	187
35	95
43	103
57	117
129	189
72	132
57	117
107	167
52	112
77	137
50	110
133	193
124	184
100	160
57	117
55	115
52	112
59	119
50	110
116	176
51	111
96	156
124	184
43	103
109	169
60	120
36	96
70	130
77	137
33	93
113	173
49	109
37	97
98	158
38	98
124	184
89	149
101	161
68	128
37	97
76	136
124	184
125	185
115	175
81	141
122	182
42	102
140	200
51	111
37	97
39	99
38	98
11	71
118	178
55	115
129	189
26	86
150	210
50	110
27	87
62	122
126	186
59	119
60	120
120	180
75	135
74	134
162	222
71	131
27	87
20	80
81	141
72	132
72	132
75	135
52	112
117	177
71	131
152	212
14	74
148	208
80	140
20	80
117	177
105	165
31	91
62	122
150	210
