0	230
15	204
18	202
54	187
138	169
20	199
76	131
21	170
87	112
88	115
107	150
57	86
15	192
147	180
32	187
50	81
29	139
124	189
47	136
32	146
79	182
18	195
76	127
58	87
58	190
153	186
58	208
8	75
6	136
29	150
49	102
17	198
67	186
24	92
36	183
116	178
41	112
42	198
74	101
33	110
65	114
72	131
25	91
82	185
59	88
29	99
63	180
34	176
27	192
93	132
41	203
36	149
11	195
87	112
90	197
126	155
106	163
48	163
178	210
17	202
70	201
29	132
46	79
34	172
48	107
49	113
104	159
73	102
117	176
39	70
123	198
39	148
22	197
30	135
138	169
27	192
65	90
168	199
71	130
84	109
135	198
57	140
23	196
21	198
93	118
23	177
49	148
88	107
50	107
68	211
46	153
25	194
18	53
129	199
35	174
14	205
51	204
92	183
21	198
74	101
159	195
