Iter = 0, 瞷︽秆cost = 102075.13, ó进计 = 10, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 102075.13, 办秆Θセ = 102075.13
Iter = 1, 瞷︽秆cost = 102073.04, ó进计 = 10, 繦诀家览Ω计 = 1, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 102073.04
Iter = 2, 瞷︽秆cost = 102072.99, ó进计 = 10, 繦诀家览Ω计 = 1, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 102072.99
Iter = 3, 瞷︽秆cost = 102121.52, ó进计 = 10, 繦诀家览Ω计 = 2, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 102072.99
Iter = 4, 瞷︽秆cost = 102197.81, ó进计 = 10, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 102072.99
Iter = 5, 瞷︽秆cost = 102204.73, ó进计 = 10, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 102072.99
Iter = 6, 瞷︽秆cost = 102216.01, ó进计 = 10, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 102072.99
Iter = 7, 瞷︽秆cost = 102221.18, ó进计 = 10, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 102072.99
Iter = 8, 瞷︽秆cost = 102200.31, ó进计 = 10, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 102072.99
Iter = 9, 瞷︽秆cost = 102178.11, ó进计 = 10, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 102072.99
Iter = 10, 瞷︽秆cost = 102179.73, ó进计 = 10, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 102072.99
Iter = 11, 瞷︽秆cost = 102204.87, ó进计 = 10, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 102072.99
Iter = 12, 瞷︽秆cost = 102194.88, ó进计 = 10, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 102072.99
Iter = 13, 瞷︽秆cost = 102230.87, ó进计 = 10, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 102072.99
Iter = 14, 瞷︽秆cost = 102190.37, ó进计 = 10, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 102072.99
Iter = 15, 瞷︽秆cost = 102196.61, ó进计 = 10, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 102072.99
Iter = 16, 瞷︽秆cost = 102193.20, ó进计 = 10, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 102072.99
Iter = 17, 瞷︽秆cost = 102162.86, ó进计 = 10, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 102072.99
Iter = 18, 瞷︽秆cost = 102224.68, ó进计 = 10, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 102072.99
Iter = 19, 瞷︽秆cost = 102221.30, ó进计 = 10, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 102072.99
Iter = 20, 瞷︽秆cost = 102231.85, ó进计 = 10, 繦诀家览Ω计 = 6, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 102072.99
Iter = 21, 瞷︽秆cost = 102192.97, ó进计 = 10, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 102072.99
Iter = 22, 瞷︽秆cost = 102195.86, ó进计 = 10, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 102072.99
Iter = 23, 瞷︽秆cost = 102173.34, ó进计 = 10, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 102072.99
Iter = 24, 瞷︽秆cost = 102195.58, ó进计 = 10, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 102072.99
