0	230
73	204
18	147
76	165
73	195
20	167
49	158
36	135
50	149
47	156
85	172
33	152
15	133
79	208
32	187
30	152
29	139
60	189
47	136
32	146
79	182
18	136
50	153
36	155
58	190
56	186
87	186
5	140
6	136
29	150
25	132
17	138
67	186
24	161
70	173
54	178
41	178
87	190
42	153
33	186
40	139
43	160
25	158
82	185
31	144
29	169
63	180
34	176
65	192
73	152
75	182
36	149
11	133
51	148
90	197
69	189
76	190
48	163
84	210
17	183
70	201
29	132
25	154
34	172
46	165
49	170
68	179
43	156
80	198
12	137
48	198
39	148
22	170
30	135
74	195
27	141
27	128
72	200
42	159
47	146
73	198
57	140
23	146
21	157
57	154
44	147
49	148
61	134
21	136
68	211
46	153
70	194
18	159
60	199
58	151
14	143
89	190
92	183
21	142
33	142
51	195
