0	1000
636	919
74	351
498	613
470	965
20	370
266	663
292	449
288	597
254	643
496	713
33	510
170	403
426	978
32	454
30	529
222	423
409	959
349	462
215	432
538	709
156	389
280	623
36	513
633	918
400	956
548	707
5	612
44	325
129	374
115	498
91	336
602	835
24	646
487	656
439	948
41	710
563	736
147	560
33	797
243	554
225	682
25	616
578	747
72	501
29	669
458	685
34	362
694	962
444	597
499	690
296	505
111	362
301	602
595	780
442	917
426	851
366	585
458	980
17	441
651	932
246	421
25	583
34	348
46	523
49	608
440	845
132	563
464	925
12	535
249	968
218	417
22	377
263	444
479	965
182	399
166	497
430	970
212	671
273	580
452	968
388	479
99	352
21	328
323	624
333	504
350	503
380	487
114	553
649	981
345	534
675	930
18	673
339	969
403	536
22	301
565	732
582	703
122	367
185	580
297	965
